participant_id,condition,scene_code,transition,probability
P04,RAW,LR,R->C,0.19444444444444442
P04,RAW,LR,R->L,0
P04,RAW,LR,R->R,0.13888888888888887
P04,HUD,PLL,C->C,0.84999999999999998
P04,HUD,PLL,C->L,0.14999999999999999
P04,HUD,PLL,C->R,0
P04,HUD,PLL,L->C,0.33333333333333331
P04,HUD,PLL,L->L,0.41666666666666663
P04,HUD,PLL,L->R,0
P04,HUD,PLL,R->C,0
P04,HUD,PLL,R->L,0
P04,HUD,PLL,R->R,0
P04,RAW,PLL,C->C,1
P04,RAW,PLL,C->L,0
P04,RAW,PLL,C->R,0
P04,RAW,PLL,L->C,0
P04,RAW,PLL,L->L,0
P04,RAW,PLL,L->R,0
P04,RAW,PLL,R->C,0
P04,RAW,PLL,R->L,0
P04,RAW,PLL,R->R,0
P04,HUD,PLR,C->C,0.78000000000000003
P04,HUD,PLR,C->L,0.02
P04,HUD,PLR,C->R,0.20000000000000001
P04,HUD,PLR,L->C,0.20000000000000001
P04,HUD,PLR,L->L,0
P04,HUD,PLR,L->R,0
P04,HUD,PLR,R->C,0.23333333333333331
P04,HUD,PLR,R->L,0
P04,HUD,PLR,R->R,0.16666666666666666
P04,RAW,PLR,C->C,0.9375
P04,RAW,PLR,C->L,0.020833333333333332
P04,RAW,PLR,C->R,0.041666666666666664
P04,RAW,PLR,L->C,0.16666666666666666
P04,RAW,PLR,L->L,0
P04,RAW,PLR,L->R,0
P04,RAW,PLR,R->C,0.16666666666666666
P04,RAW,PLR,R->L,0
P04,RAW,PLR,R->R,0
P04,HUD,PTL,C->C,0.90716902145473577
P04,HUD,PTL,C->L,0.072422815279958114
P04,HUD,PTL,C->R,0.020408163265306114
P04,HUD,PTL,L->C,0.42857142857142855
P04,HUD,PTL,L->L,0.2857142857142857
P04,HUD,PTL,L->R,0
P04,HUD,PTL,R->C,0.14285714285714285
P04,HUD,PTL,R->L,0
P04,HUD,PTL,R->R,0
P04,RAW,PTL,C->C,0.91777296381476769
P04,RAW,PTL,C->L,0.076396132395144867
P04,RAW,PTL,C->R,0.0058309037900874574
